pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
6ws6	E	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/30/20	Structural and functional analysis of a potent sarbecovirus neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., Marco, A.D., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Telenti, A., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.3	X-RAY DIFFRACTION	0.227	0.188	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6ws6	A	B	0	A	Hapten	JEF	JEFFAMINE	IMMUNE SYSTEM	04/30/20	Structural and functional analysis of a potent sarbecovirus neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., Marco, A.D., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Telenti, A., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.3	X-RAY DIFFRACTION	0.227	0.188	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
6ws6	C	D	0	A	Hapten	JEF	JEFFAMINE	IMMUNE SYSTEM	04/30/20	Structural and functional analysis of a potent sarbecovirus neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Pinto, D., Park, Y.J., Beltramello, M., Walls, A.C., Tortorici, M.A., Bianchi, S., Jaconi, S., Culap, K., Zatta, F., Marco, A.D., Peter, A., Guarino, B., Spreafico, R., Cameroni, E., Case, J.B., Chen, R.E., Havenar-Daughton, C., Snell, G., Telenti, A., Virgin, H.W., Lanzavecchia, A., Diamond, M.S., Fink, K., Veesler, D., Corti, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.3	X-RAY DIFFRACTION	0.227	0.188	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7byr	H	L	0	B	protein	NA	sars-cov-2 spike glycoprotein	VIRAL PROTEIN	04/24/20	BD23-Fab in complex with the S ectodomain trimer	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhu, Q., Wang, G., Xiao, J.	3.84	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV7	IGKV1	Kappa	None	None	None	None	None
7n8i	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 (Local Refinement of the NTD/S2L20)	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7n8h	E	D	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7n8h	M	L	0	K	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7n8h	H	G	0	F	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7n8h	O	N	0	K	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7n8h	J	I	0	F	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/14/21	SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
